date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
2024-01-11,2584.69,2690.17,2567.23,2618.71,2690.17,6.0,-2.6563377035652036,2168.41,3.0,20.766367983914492,2717.2,-3.624687177977322,2455.87,6.630644130186051
2024-01-12,2618.71,2717.2,2455.87,2522.11,2717.2,6.0,-7.179817459149112,2168.41,2.0,16.31149090808474,2613.41,-3.4935199605113523,2468.6,2.1676253747063203
2024-01-13,2522.11,2589.5,2497.1,2577.89,2717.2,5.0,-5.126968938613277,2168.41,1.0,18.88388266056696,2613.41,-1.3591438006282974,2424.13,6.342894151716276
2024-01-14,2577.89,2578.65,2468.6,2470.94,2717.2,4.0,-9.0630060356249,2168.41,0.0,13.951697326612598,2613.41,-5.451498234107921,2412.93,2.404131077155169
2024-01-15,2470.94,2551.4,2469.25,2510.12,2717.2,3.0,-7.621080524068892,2231.3,0.0,12.495854434634504,2613.41,-3.9523075215905648,2412.93,4.027883113061716
2024-01-16,2510.12,2613.41,2498.62,2586.91,2717.2,2.0,-4.795009568673633,2341.51,0.0,10.480416483380365,2592.23,-0.2052287026999982,2412.93,7.210321061945437
2024-01-17,2586.91,2592.23,2505.29,2528.09,2717.2,1.0,-6.959737965552764,2455.87,1.0,2.9407094023706573,2546.7,-0.7307495975183442,2302.07,9.818120213546937
2024-01-18,2528.09,2546.7,2424.13,2468.6,2717.2,0.0,-9.14912409833652,2424.13,6.0,1.8344725736655954,2501.85,-1.3290165277694506,2165.34,14.005190870717751
2024-01-19,2468.6,2501.85,2412.93,2490.05,2613.41,3.0,-4.7202696859658335,2412.93,6.0,3.1961142677160277,2490.05,0.0,2165.34,14.99579742673206
2024-01-20,2490.05,2490.05,2452.6,2470.31,2613.41,2.0,-5.47560466976096,2412.93,5.0,2.378021741202609,2480.59,-0.4144175377632015,2165.34,14.084162302455955
2024-01-21,2470.31,2480.59,2451.91,2455.35,2613.41,1.0,-6.04803685606162,2412.93,4.0,1.758028620805414,2464.27,-0.36197332272843774,2165.34,13.393277730056239
2024-01-22,2455.35,2464.27,2302.07,2311.54,2613.41,0.0,-11.550809096161716,2302.07,6.0,0.4113688984261903,2349.2,-1.603098927294392,2165.34,6.751826502997211
2024-01-23,2311.54,2349.2,2165.34,2241.32,2592.23,0.0,-13.536993245198145,2165.34,6.0,3.508917768110321,2307.73,-2.8777196639121496,2170.05,3.284256123130802
2024-01-24,2241.32,2262.69,2195.63,2234.13,2546.7,0.0,-12.273530451172094,2165.34,5.0,3.1768682978192784,2322.48,-3.804123178671072,2170.05,2.9529273519043304
2024-01-25,2234.13,2241.03,2170.05,2217.5,2501.85,0.0,-11.365589463796786,2165.34,4.0,2.4088595786342952,2391.57,-7.278482335871421,2194.89,1.0301199604536049
2024-01-26,2217.5,2281.01,2194.89,2267.33,2490.05,0.0,-8.944398706853287,2165.34,3.0,4.710114808759815,2391.57,-5.1949138013940726,2233.69,1.5060281417743677
2024-01-27,2267.33,2282.56,2251.19,2267.97,2480.59,0.0,-8.571347945448474,2165.34,2.0,4.739671368006856,2391.57,-5.168153137896877,2233.69,1.5346802824026495
2024-01-28,2267.97,2307.73,2239.84,2256.6,2464.27,0.0,-8.42724214473252,2165.34,1.0,4.214580620133548,2391.57,-5.643573050339326,2233.69,1.0256570965532306
2024-01-29,2256.6,2322.48,2233.69,2317.51,2349.2,0.0,-1.3489698620806914,2165.34,0.0,7.02753378222358,2391.57,-3.096710529066678,2239.78,3.470430131530776
2024-01-30,2317.51,2391.57,2297.16,2343.1,2391.57,6.0,-2.026702124545811,2170.05,1.0,7.974470634317169,2351.47,-0.35594755620951535,2239.78,4.612953057889601
2024-01-31,2343.1,2351.47,2263.16,2281.77,2391.57,5.0,-4.591126331238483,2170.05,0.0,5.148268473076648,2335.71,-2.3093620355266733,2239.78,1.8747376974524184
2024-02-01,2281.77,2310.4,2239.78,2303.34,2391.57,4.0,-3.6892083443093875,2194.89,0.0,4.941022101335387,2392.04,-3.708131971037266,2267.59,1.5765636645072518
2024-02-02,2303.34,2323.08,2280.8,2307.85,2391.57,3.0,-3.500629293727562,2233.69,2.0,3.320066795302833,2473.23,-6.68680227880141,2267.59,1.7754532344912335
2024-02-03,2307.85,2328.23,2292.31,2295.87,2391.57,2.0,-4.001555463565786,2233.69,1.0,2.7837345379170717,2473.23,-7.171189092805768,2267.59,1.247139033070341
2024-02-04,2295.87,2309.1,2267.59,2288.68,2391.57,1.0,-4.302194792542151,2233.69,0.0,2.4618456455461493,2523.95,-9.321500029715327,2268.15,0.905142957917234
2024-02-05,2288.68,2335.71,2268.15,2299.16,2391.57,0.0,-3.8639889277754906,2239.78,2.0,2.6511532382644565,2523.95,-8.906277858119218,2296.27,0.1258562799670715
2024-02-06,2299.16,2392.04,2296.27,2372.2,2392.04,6.0,-0.8294175682680952,2239.78,1.0,5.91218780415932,2540.37,-6.619901825324661,2353.16,0.8091247513981185
2024-02-07,2372.2,2473.23,2353.16,2424.33,2473.23,6.0,-1.977171552989414,2239.78,0.0,8.239648536909861,2666.3,-9.07512282938905,2411.45,0.5341184764353443
2024-02-08,2424.33,2462.14,2411.45,2419.79,2473.23,5.0,-2.160737173655505,2267.59,2.0,6.7119717409231745,2686.7,-9.934492127889227,2419.06,0.03017701090506305
2024-02-09,2419.79,2523.95,2419.06,2487.62,2523.95,6.0,-1.4394104479090288,2267.59,1.0,9.703253233609239,2788.42,-10.787471040947928,2472.79,0.5997274333849589
2024-02-10,2487.62,2517.14,2473.58,2500.87,2523.95,5.0,-0.9144396679807416,2267.59,0.0,10.287574032342697,2867.69,-12.791480250654713,2472.79,1.13555942882331
2024-02-11,2500.87,2540.37,2494.72,2507.91,2540.37,6.0,-1.2777666245468193,2268.15,0.0,10.570729449110498,2867.69,-12.545986490868962,2472.79,1.4202580890411192
2024-02-12,2507.91,2666.3,2472.79,2660.56,2666.3,6.0,-0.21527960094513882,2296.27,0.0,15.86442360872197,2867.69,-7.222886713696393,2591.27,2.673978396693512
2024-02-13,2660.56,2686.7,2591.27,2641.6,2686.7,6.0,-1.6786392228384228,2353.16,0.0,12.257560046915641,2895.47,-8.767833892252378,2619.8,0.8321245896633226
2024-02-14,2641.6,2788.42,2619.8,2777.51,2788.42,6.0,-0.3912610008535248,2411.45,0.0,15.1800783760808,2984.2,-6.926144360297553,2720.42,2.0985730144610075
2024-02-15,2777.51,2867.69,2762.64,2825.35,2867.69,6.0,-1.4764496859841945,2419.06,0.0,16.795366795366796,3032.5,-6.8309975267930785,2720.42,3.8571250027569213
2024-02-16,2825.35,2859.47,2744.76,2804.05,2867.69,5.0,-2.2192077944268687,2472.79,2.0,13.396204287464775,3032.5,-7.533388293487215,2720.42,3.074157666830861
2024-02-17,2804.05,2806.14,2720.42,2787.0,2867.69,4.0,-2.8137629939079907,2472.79,1.0,12.706699719749759,3035.27,-8.179502976670939,2766.78,0.7308134365580132
2024-02-18,2787.0,2895.47,2766.78,2881.4,2895.47,6.0,-0.48593147226528716,2472.79,0.0,16.524249936306767,3035.27,-5.069400745238476,2857.64,0.8314553267731493
2024-02-19,2881.4,2984.2,2857.64,2945.0,2984.2,6.0,-1.3135848803699424,2591.27,0.0,13.650835304696155,3035.27,-2.9740352588072883,2869.15,2.6436401024693694
2024-02-20,2945.0,3032.5,2874.59,3015.27,3032.5,6.0,-0.5681780708985992,2619.8,0.0,15.095427131842118,3119.66,-3.3461979831135404,2869.15,5.092797518428799
2024-02-21,3015.27,3017.25,2869.15,2968.67,3032.5,5.0,-2.104863973619124,2720.42,2.0,9.125429161673566,3197.66,-7.1611741085668825,2906.28,2.146730528373036
2024-02-22,2968.67,3035.27,2906.44,2969.67,3035.27,6.0,-2.1612574828598414,2720.42,1.0,9.162188191529248,3288.82,-9.704088396446144,2906.28,2.1811387753416693
2024-02-23,2969.67,2991.73,2906.28,2922.1,3035.27,5.0,-3.7284986179153776,2720.42,0.0,7.413561141294353,3490.66,-16.28803721932242,2906.62,0.5325773578933614
2024-02-24,2922.1,3005.45,2906.62,2992.35,3035.27,4.0,-1.4140422433589128,2766.78,0.0,8.152798560058974,3520.76,-15.008407275701845,2983.68,0.2905807593307618
